time,pose_x,pose_y,pose_z,pose_roll,pose_pitch,pose_yaw,cfg0_x,cfg0_y,cfg0_z,cfg1_x,cfg1_y,cfg1_z,cfg2_x,cfg2_y,cfg2_z,cfg3_x,cfg3_y,cfg3_z,cfg4_x,cfg4_y,cfg4_z,cfg5_x,cfg5_y,cfg5_z
1.48514,0.00991506,0,0.239179,0,0,0,-0.104156,1.37149,1.23465,-0.00130292,1.05288,0.989903,-0.0746379,1.36305,1.26592,0.0263596,1.02932,0.979132,-0.104156,1.37149,1.23465,0.0192785,1.04766,0.975219
1.49509,0.010442,0,0.239135,0,0,0,-0.1066,1.37116,1.23406,-0.000657669,1.04587,0.984898,-0.0770013,1.36251,1.26619,0.0284133,1.02205,0.974423,-0.1066,1.37116,1.23406,0.0195452,1.04048,0.969548
1.50512,0.0109813,0,0.239091,0,0,0,-0.109043,1.37083,1.23348,6.7058e-07,1.03896,0.980008,-0.0793626,1.36197,1.26647,0.030509,1.0149,0.969856,-0.109043,1.37083,1.23348,0.0198174,1.03339,0.963981
1.51517,0.0115328,0,0.239045,0,0,0,-0.111487,1.3705,1.23291,0.000671885,1.03216,0.975234,-0.0817219,1.36144,1.26675,0.0326462,1.00786,0.965431,-0.111487,1.3705,1.23291,0.0200948,1.02641,0.958518
1.52511,0.0120964,0,0.238998,0,0,0,-0.113931,1.37017,1.23234,0.00135576,1.02545,0.970576,-0.0840791,1.3609,1.26704,0.0348241,1.00095,0.961148,-0.113931,1.37017,1.23234,0.0203775,1.01953,0.95316
1.53514,0.0126719,0,0.238951,0,0,0,-0.116374,1.36983,1.23178,0.00205208,1.01885,0.966032,-0.0864342,1.36037,1.26734,0.0370421,0.994151,0.957005,-0.116374,1.36983,1.23178,0.0206653,1.01274,0.947905
1.54523,0.0132591,0,0.238902,0,0,0,-0.118818,1.36949,1.23122,0.00276064,1.01235,0.961603,-0.0887872,1.35984,1.26764,0.0392996,0.987474,0.953003,-0.118818,1.36949,1.23122,0.0209582,1.00606,0.942753
1.55519,0.013858,0,0.238853,0,0,0,-0.121261,1.36915,1.23066,0.00348121,1.00595,0.957289,-0.091138,1.3593,1.26795,0.0415959,0.980915,0.94914,-0.121261,1.36915,1.23066,0.021256,0.999482,0.937705
1.56506,0.0144683,0,0.238802,0,0,0,-0.123704,1.36881,1.23011,0.00421359,0.999654,0.953088,-0.0934867,1.35877,1.26826,0.0439303,0.974474,0.945415,-0.123704,1.36881,1.23011,0.0215587,0.993002,0.93276
1.57501,0.01509,0,0.238751,0,0,0,-0.126147,1.36847,1.22957,0.00495756,0.99346,0.949001,-0.0958332,1.35823,1.26858,0.0463021,0.968151,0.941829,-0.126147,1.36847,1.22957,0.0218662,0.986624,0.927919
1.58526,0.0157228,0,0.238698,0,0,0,-0.12859,1.36813,1.22903,0.00571291,0.987369,0.945028,-0.0981775,1.3577,1.26891,0.0487108,0.961947,0.93838,-0.12859,1.36813,1.22903,0.0221784,0.980346,0.92318
1.59509,0.0163667,0,0.238645,0,0,0,-0.131033,1.36779,1.2285,0.00647942,0.981381,0.941167,-0.10052,1.35717,1.26924,0.0511556,0.95586,0.935068,-0.131033,1.36779,1.2285,0.0224953,0.97417,0.918544
1.60519,0.0170214,0,0.238591,0,0,0,-0.133475,1.36744,1.22797,0.00725688,0.975495,0.937419,-0.102859,1.35663,1.26958,0.0536359,0.949892,0.931892,-0.133475,1.36744,1.22797,0.0228166,0.968095,0.91401
1.61527,0.0176869,0,0.238536,0,0,0,-0.135917,1.36709,1.22744,0.00804508,0.969712,0.933783,-0.105197,1.3561,1.26992,0.0561511,0.944041,0.928851,-0.135917,1.36709,1.22744,0.0231423,0.962122,0.909579
1.62509,0.0183628,0,0.23848,0,0,0,-0.138359,1.36674,1.22692,0.00884379,0.964032,0.930259,-0.107532,1.35557,1.27027,0.0587004,0.938308,0.925946,-0.138359,1.36674,1.22692,0.0234724,0.95625,0.905251
1.63523,0.0190492,0,0.238423,0,0,0,-0.1408,1.36639,1.22641,0.00965282,0.958456,0.926846,-0.109865,1.35504,1.27063,0.0612832,0.932693,0.923174,-0.1408,1.36639,1.22641,0.0238068,0.95048,0.901024
1.64514,0.0197457,0,0.238365,0,0,0,-0.143241,1.36604,1.2259,0.0104719,0.952982,0.923545,-0.112196,1.35451,1.27099,0.0638989,0.927195,0.920535,-0.143241,1.36604,1.2259,0.0241453,0.944813,0.896899
1.65499,0.0204523,0,0.238307,0,0,0,-0.145681,1.36568,1.2254,0.0113009,0.947612,0.920355,-0.114524,1.35398,1.27136,0.0665468,0.921815,0.91803,-0.145681,1.36568,1.2254,0.0244879,0.939247,0.892876
1.66516,0.0211687,0,0.238247,0,0,0,-0.148121,1.36532,1.2249,0.0121396,0.942345,0.917275,-0.11685,1.35345,1.27173,0.0692263,0.916553,0.915656,-0.148121,1.36532,1.2249,0.0248345,0.933783,0.888954
1.67514,0.0218948,0,0.238187,0,0,0,-0.150561,1.36497,1.2244,0.0129877,0.937182,0.914305,-0.119173,1.35292,1.27211,0.0719366,0.911407,0.913414,-0.150561,1.36497,1.2244,0.025185,0.928422,0.885134
1.68512,0.0226304,0,0.238126,0,0,0,-0.153,1.36461,1.22391,0.0138451,0.932122,0.911445,-0.121494,1.35239,1.2725,0.0746771,0.906379,0.911302,-0.153,1.36461,1.22391,0.0255394,0.923164,0.881415
1.69519,0.0233753,0,0.238065,0,0,0,-0.155439,1.36424,1.22343,0.0147114,0.927166,0.908694,-0.123813,1.35187,1.27289,0.0774472,0.901468,0.90932,-0.155439,1.36424,1.22343,0.0258974,0.918008,0.877797
1.7051,0.0241293,0,0.238002,0,0,0,-0.157876,1.36388,1.22295,0.0155866,0.922314,0.906053,-0.126129,1.35134,1.27329,0.0802463,0.896674,0.907468,-0.157876,1.36388,1.22295,0.0262591,0.912954,0.87428
1.71513,0.0248923,0,0.237939,0,0,0,-0.160314,1.36352,1.22248,0.0164704,0.917565,0.90352,-0.128443,1.35081,1.27369,0.0830735,0.891997,0.905745,-0.160314,1.36352,1.22248,0.0266243,0.908004,0.870864
